"","Modelo1","Texto"
"47","neutro","NA VOLCAN  Santiago, 09 de Agosto de 2018.- Sejiores Comisi6n para el Mercado Financiero Avenida Libertador Bernardo O’Higgins 1449 Santiago, Chile Ref.: Registro de Valores N° 020 — Comunica Hecho Esencial. De mi consideracién: De conformidad a lo establecido en el artfculo 9 e inciso segundo del artficulo 10 de la Ley 18.045 y en la Norma de Cardcter General N°30, de la Comisién para el Mercado Financiero, y encontrandome debidamente facultado al efecto, informo a ustedes que el dia 08 de Agosto de 2018, se efectué la siguiente renuncia al Directorio de la Sociedad: El director titular sefior Rodrigo Donoso Munita, renuncié a su cargo siendo reemplazado por su directora suplente sefora Macarena Pérez Ojeda. Saluda atentamente a usted,  tonio Sabugal , Gerente General Compaiiia Industrial El Volcan S.A. c.c. Bolsa de Comercio de Santiago Bolsa de Corredores de Valparaiso Bolsa Electrénica de Chile www.volcan.cl"
"48","doble","| Gon DRE/_|MS HECHO ESENCIAL SUN DREAMS S.A. Inscripcién Registro de Valores No. 1.099 Santiago, 8 de agosto de 2018. Sefior Joaquin Cortez Huerta Presidente Comision para el Mercado Financiero Presente Ref.: Informa colocacion de Bonos Serie E.  De nuestra consideracion:  Por medio de la presente, y en cumplimiento a lo dispuesto en el articulo 9° e inciso segundo del articulo 10°, ambos de la Ley 18.045 y Norma de Caracter General N°30 de esa Comisi6n, y estando debidamente facultado al efecto, informo a usted, en caracter de hecho esencial de la sociedad Sun Dreams S.A., inscrita en el Registro de Valores con el numero 1.099, lo siguiente:  Con esta fecha, Sun Dreams S.A. colocé en el mercado local la totalidad de los Bonos Serie E, codigo nemotécnico BDRMS-E, con cargo a la linea inscrita en el Registro de Valores bajo el N° 737, por la suma de 600.000 Unidades de Fomento.  Los Bonos Serie E (i) tienen vencimiento el dia 15 de marzo de 2028"
"49","doble","<a>, 26  am SAUD AD y RESPNOO  Santiago, 8 de agosto de 2018  Sefior Joaquin Cortez Huerta Comisién para el Mercado Financiero Presente Ref. Comunica HECHO ESENCIAL de NIBSA S.A., inscrita Registro de Valores con el N° 625. De nuestra consideracion:  Por medio de la presente, y segtin lo dispuesto en la Norma de Cardcter General N° 30, Seccién II, punto 2.2. C, comunicamos que en la sesion ordinaria del Directorio de la Sociedad, efectuada el dia 6 de agosto de 2018, se tomo por parte de la unanimidad de los Directores, la decision de reconvertir la Sociedad en una empresa comercializadora, manteniendo en el area calidad, los equipos y maquinarias respectivos con el fin de asegurar el nivel de calidad que ha caracterizado a los productos Nibsa. Lo anterior significa suspender en forma definitiva a contar del 31 de agosto de 2018, los procesos productivos de fundicién y mecanizacion de productos, ejecutados en su planta de produccién ubicada en la comuna de San Joaquin.  La decisién antes informada, quedé condicionada a su ratificacion por parte de la Junta Extraordinaria de Accionistas de la Sociedad, que se acordé citar para el dfa 27 de agosto de 2018 a las 12 horas.  En cuanto a los efectos de la decision adoptada, informamos lo siguiente:  a) Esta decision dard origen a la desvinculacion aproximada de 130 empleados, a los cuales se les cancelaré un monto estimado de indemnizacion por afios de servicio de aproximadamente $ 1.000 millones, que serén pagados integramente, conforme con lo establecido en las normas laborales vigentes"
"50","doble","& B * | CORREDOR \DCI | dE Botsa  Santiago, 08 de Agosto 2018 Sefior Joaquin Cortez Huerta Presidente comisi6n para el Mercado Financiero PRESENTE  Ref.: HECHO ESENCIAL De mi consideracion: De acuerdo a la normativa vigente, comunicamos a esa comision, el siguiente hecho esencial. Anuncio de Dividendo en Efectivo Lugar y Fecha: New York 08 de Agosto de 2018 Emisora: CHESAPEAKE UTILITIES CORP (CPK) Hecho Esencial: La Compafiia de referencia ha anunciado el siguiente pago de dividendo en efectivo: Fecha Ex-Date: 13 de Septiembre de 2018 Fecha registro: 14 de Septiembre de 2018 Fecha Pago: 05 de Octubre de 2018 Ratio a pagar por accién: USD 0.37 V (Importe bruto) Ratio a pagar por accién: USD 0.259 (Importe neto) Mercado del exterior. New York Puede accederse a informacion adicional de la Serie de referencia a través del siguiente link de BCI Corredor De Bolsa: https://www.bci.cl/inversiones/bci-corredor-de-bolsa#valores-extranjeros Sin otro particular, les saluda atentamente C.c.: Bolsa de Comercio de Santiago. C.c.: Bolsa Electronica de Chile.  BCI Corredor de Bolsa S.A. Magdalena 140, piso 14, Santiago. Chile."
"51","doble","& B * | CORREDOR \DCI | dE Botsa  Santiago, 08 de Agosto 2018 Sefior Joaquin Cortez Huerta Presidente comisi6n para el Mercado Financiero PRESENTE  Ref.: HECHO ESENCIAL De mi consideracion: De acuerdo a la normativa vigente, comunicamos a esa comision, el siguiente hecho esencial. Anuncio de Dividendo en Efectivo Lugar y Fecha: New York 08 de Agosto de 2018 Emisora: UNITEDHEALTH GROUP INC (UNH) Hecho Esencial: La Compafiia de referencia ha anunciado el siguiente pago de dividendo en efectivo: Fecha Ex-Date: 06 de Septiembre de 2018 Fecha registro: 07 de Septiembre de 2018 Fecha Pago: 18 de Septiembre de 2018 Ratio a pagar por accién: USD 0.9 (Importe bruto) Ratio a pagar por accién: USD 0.63 (Importe neto) Mercado del exterior. New York Puede accederse a informacion adicional de la Serie de referencia a través del siguiente link de BCI Corredor De Bolsa: https://www.bci.cl/inversiones/bci-corredor-de-bolsa#valores-extranjeros Sin otro particular, les saluda atentamente C.c.: Bolsa de Comercio de Santiago. C.c.: Bolsa Electronica de Chile.  BCI Corredor de Bolsa S.A. Magdalena 140, piso 14, Santiago. Chile."
"52","doble","e B Cl Corredor ar de Bolsa @eees: Santiago, 30 de Octubre 2020 Sefiores Comision para el Mercado Financiero PRESENTE Ref.: HECHOS ESENCIALES De mi consideraci6n: De acuerdo a la normativa vigente, comunicamos a esa Comisién 06 hechos esenciales correspondientes al pago de dividendos de los siguientes ETFs - Valores Extranjeros: e CHEVRON CORP (CVX) e EBAY INC (EBAY) e GILEAD SCIENCES INC (GILD) e NEWMONT CORPORATION (NEM) e VISAINC. (V) e EXXON MOBIL CORPORATION (XOM) Magdalena 140, Piso 14.Las Condes. Teléfono (56-22) 692 8900 Fax: (56-22) 6928966. Santiago, Chile E-mail: cbolsa@bci.cl. Internet: www.bci.cl  e B Cl Corredor ar de Bolsa @®ees: Santiago, octubre 30 de 2020 Sefior Joaquin Cortez Huerta Presidente comisién para el Mercado Financiero PRESENTE Ref.: HECHO ESENCIAL De mi consideracion: De acuerdo a la normativa vigente, comunicamos a esa comision, el siguiente hecho esencial. Anuncio de Dividendo en Efectivo Fecha: 30-10-2020 Lugar :NEW YORK Emisora: CHEVRON CORP (CVX) Hecho Esencial: La Compania de referencia ha anunciado el siguiente pago de dividendo en efectivo: Fecha Ex-Date : 17-11-2020 Fecha registro : 18-11-2020 Fecha Pago : 10-12-2020 Ratio a pagar por accion: USD 1,29 (Importe bruto) Ratio a pagar por accién: USD 0,903 (Importe neto) Mercado del exterior :NEW YORK Puede accederse a informacién adicional de la Serie de referencia a través del siguiente link de BCI Corredor De Bolsa: https://www.bci.cl/inversiones/bci-corredor-de-bolsa#valores-extranjeros Sin otro particular, les saluda atentamente C.c.: Bolsa de Comercio de Santiago. C.c.: Bolsa Electronica de Chile. Magdalena 140, Piso 14.Las Condes. Teléfono (56-22) 692 8900 Fax: (56-22) 6928966. Santiago, Chile E-mail: cbolsa@bci.cl. Internet: www.bci.cl  e B Cl Corredor ar de Bolsa @®ees: Santiago, octubre 30 de 2020 Sefior Joaquin Cortez Huerta Presidente comisién para el Mercado Financiero PRESENTE Ref.: HECHO ESENCIAL De mi consideracion: De acuerdo a la normativa vigente, comunicamos a esa comision, el siguiente hecho esencial. Anuncio de Dividendo en Efectivo Fecha: 30-10-2020 Lugar : NASDAQ GS Emisora: EBAY INC (EBAY) Hecho Esencial: La Compania de referencia ha anunciado el siguiente pago de dividendo en efectivo: Fecha Ex-Date : 30-11-2020 Fecha registro 1 01-12-2020 Fecha Pago : 18-12-2020 Ratio a pagar por accion: USD 0,16 (Importe bruto) Ratio a pagar por accioén: USD 0,112 (Importe neto) Mercado del exterior :NASDAQ GS Puede accederse a informacién adicional de la Serie de referencia a través del siguiente link de BCI Corredor De Bolsa: https://www.bci.cl/inversiones/bci-corredor-de-bolsa#valores-extranjeros Sin otro particular, les saluda atentamente C.c.: Bolsa de Comercio de Santiago. C.c.: Bolsa Electronica de Chile. Magdalena 140, Piso 14.Las Condes. Teléfono (56-22) 692 8900 Fax: (56-22) 6928966. Santiago, Chile E-mail: cbolsa@bci.cl. Internet: www.bci.cl  e B Cl Corredor ar de Bolsa @®ees: Santiago, octubre 30 de 2020 Sefior Joaquin Cortez Huerta Presidente comisién para el Mercado Financiero PRESENTE Ref.: HECHO ESENCIAL De mi consideracion: De acuerdo a la normativa vigente, comunicamos a esa comision, el siguiente hecho esencial. Anuncio de Dividendo en Efectivo Fecha: 30-10-2020 Lugar : NASDAQ GS Emisora: GILEAD SCIENCES INC (GILD) Hecho Esencial: La Compania de referencia ha anunciado el siguiente pago de dividendo en efectivo: Fecha Ex-Date 1 14-12-2020 Fecha registro 1 15-12-2020 Fecha Pago : 30-12-2020 Ratio a pagar por accion: USD 0,68 (Importe bruto) Ratio a pagar por accion: USD 0,476 (Importe neto) Mercado del exterior :NASDAQ GS Puede accederse a informacién adicional de la Serie de referencia a través del siguiente link de BCI Corredor De Bolsa: https://www.bci.cl/inversiones/bci-corredor-de-bolsa#valores-extranjeros Sin otro particular, les saluda atentamente C.c.: Bolsa de Comercio de Santiago. C.c.: Bolsa Electronica de Chile. Magdalena 140, Piso 14.Las Condes. Teléfono (56-22) 692 8900 Fax: (56-22) 6928966. Santiago, Chile E-mail: cbolsa@bci.cl. Internet: www.bci.cl  e B Cl Corredor ar de Bolsa @®ees:  Santiago, octubre 30 de 2020 Sefior Joaquin Cortez Huerta Presidente comisién para el Mercado Financiero PRESENTE  Ref.: HECHO ESENCIAL De mi consideracion: De acuerdo a la normativa vigente, comunicamos a esa comision, el siguiente hecho esencial. Anuncio de Dividendo en Efectivo Fecha: 30-10-2020 Lugar :NEW YORK Emisora: NEWMONT CORPORATION (NEM) Hecho Esencial: La Compania de referencia ha anunciado el siguiente pago de dividendo en efectivo: Fecha Ex-Date : 10-12-2020 Fecha registro 1 11-12-2020 Fecha Pago : 28-12-2020 Ratio a pagar por accion: USD 0,4 (Importe bruto) Ratio a pagar por accion: USD 0,28 (Importe neto) Mercado del exterior :NASDAQ GS Puede accederse a informacién adicional de la Serie de referencia a través del siguiente link de BCI Corredor De Bolsa: https://www.bci.cl/inversiones/bci-corredor-de-bolsa#valores-extranjeros Sin otro particular, les saluda atentamente C.c.: Bolsa de Comercio de Santiago. C.c.: Bolsa Electronica de Chile. Magdalena 140, Piso 14.Las Condes. Teléfono (56-22) 692 8900 Fax: (56-22) 6928966. Santiago, Chile E-mail: cbolsa@bci.cl. Internet: www.bci.cl"
"53","neutro","i Corporacién Nacional del Cobre de Chile Casa Matriz Huérfanos 1270 Santiago @ Region Metropolitana, Santiago CODELCO www.codelco.com PE-140/18 Santiago, 08 de Agosto de 2018 Sefior Joaquin Cortez Huerta Presidente Comisi6n para el Mercado Financiero Av. Libertador Bernardo O’Higgins 1449 Presente Ref.: HECHO ESENCIAL. Codelco Chile, Inscripcién Registro de Valores N° 785. De nuestra consideracion: De conformidad a lo establecido en el articulo 9°, en el inciso segundo del articulo 10° de la Ley N°18.045 y en la Norma de Caracter General N°30 de esa Comision, y en relacién a lo ya informado mediante Hecho Esencial PE-226/14 de fecha 18 de Diciembre de 2014, relativo al Proyecto Mina Chuquicamata Subterranea, me permito informar en tal calidad que el Directorio de la Corporacién Nacional del Cobre de Chile, en sesién extraordinaria celebrada ayer, acordé autorizar la reformulacién del “Proyecto Mina Chuquicamata Subterranea” por un monto de USD 4.881 millones (Moneda Presupuesto 2017 ) y plazo 74 meses, que sumado a las obras tempranas ya realizadas, alcanza a un monto de inversién total de US$ 5.550 millones. El Proyecto Mina Chuquicamata Subterranea es parte integrante del Plan de Negocios de la Divisi6n Chuquicamata y de la Corporacién Nacional del Cobre de Chile. Para efectos de su aprobacién, el Directorio tuvo en consideracién los antecedentes presentados por la Vicepresidencia de Proyectos y la Divisién Chuquicamata tanto al Comité de Proyectos y Financiamiento de Inversiones como al Directorio y los avances y compromisos del proceso de transformacion, asi como los resultados de la revisién independiente realizada al efecto. Se hace presente que la autorizacién indicada anteriormente se encuentra sujeta a la recomendacién de la Comisién Chilena del Cobre y del Ministerio de Desarrollo Social. Saluda atentamente a Ud. Nelso rro Contador « residente Ejecutivo Casa Matriz Division Codelco Norte _Divisién El Salvador _Divisién Andina Division Ventanas _Divisién El Teniente"
"54","neutro","> LATAM , HECHO ESENCIAL LATAM AIRLINES GROUP S.A. Inscripcién Registro de Valores N° 306 Santiago, 7 de agosto de 2018  Sefior Joaquin Cortez Huerta Presidente Comisién para el Mercado Financiero Av. Libertador Bernardo O'Higgins 1449 Santiago  Ref.: Comunica HECHO ESENCIAL De mi consideracién:  De acuerdo a lo establecido en el Articulo 9° y en el inciso segundo del Articulo 10° de la Ley de Mercado de Valores, y en la Norma de Caracter General N° 30, debidamente facultado, por medio del presente informo el siguiente HECHO ESENCIAL de LATAM Airlines Group S.A. (““LATAM” o la “Sociedad”), Inscripcion Registro de Valores N° 306:  El Directorio de LATAM tomé conocimiento de la renuncia presentada por el sefior Antonio Luiz Pizarro Manso al cargo de director de la Sociedad, efectiva a partir de hoy. En su reemplazo y en uso de la facultad contenida en el articulo 32 de la Ley N° 18.046, sobre Sociedades Anonimas, el Directorio acordé en sesién ordinaria celebrada con fecha de hoy 7 de agosto de 2018, designar en calidad de director de LATAM a la sefiora Sonia J.S. Villalobos. En consecuencia, en la proxima Junta Ordinaria de Accionistas de LATAM, se debera proceder a elegir y renovar su directorio.  Le saluda atentamente, (f° fj Jugn Carlos Mencié Vicegresidente Senior Legal LAWAM Airlines Group S.A."
"55","doble","RUTA DEL MAIPO HECHO ESENCIAL RUTA DEL MAIPO SOCIEDAD CONCESIONARIA S.A. INSCRIPCION REGISTRO DE VALORES N° 669 Santiago, 7 de agosto de 2018 GL N° 0058/2018 Sefior Joaquin Cortéz H. Presidente Comisi6n para el Mercado Financiero Presente Ref.: Informa HECHO ESENCIAL de Ruta del Maipo Sociedad Concesionaria S.A. De nuestra consideraci6n: Por medio de la presente, debidamente facultado al efecto y en virtud de lo dispuesto por el articulo 9° e inciso segundo del articulo 10° de la Ley N° 18.045, de Mercado de Valores, y en la Norma de Caracter General N° 30 de la Comision para el Mercado Financiero (en adelante “CMEF”), vengo en informar a esta Comisién lo siguiente en calidad de Hecho Esencial de Ruta del Maipo Sociedad Concesionaria S.A. (en adelante “Ruta del Maipo” o la “Sociedad”): EI dia de hoy, Ruta del Maipo realiz6 la colocacién en el mercado local de los bonos desmaterializados y al portador de la Serie E (cédigo nemotécnico BAMAI-E), con cargo a la linea de bonos inscrita en el Registro de Valores de la CMF bajo el numero 877 (en adelante los “Bonos Serie E”), los que fueron colocados a una tasa de interés anual de 2,04%, con una tasa de caratula de 2,3% y vencimiento al 15 de diciembre de 2024. La colocacién de los Bonos Serie E se realiz6 por un monto nominal de 1.000.000 de Unidades de Fomento. Los fondos provenientes de esta colocacién se destinaran en su totalidad: (i) al pago o reembolso de los costos o gastos asociados al refinanciamiento de los bonos serie A y B de Ruta del Maipo, cuyo rescate voluntario anticipado total fuera informado mediante hecho esencial de fecha 1 de agosto de 2018, y a la colocacién de los bonos series C, D y E con cargo a la referida Linea 877"
"56","neutro","= BICEINVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A HECHO ESENCIAL BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A. Santiago, 31 de julio de 2018 GG-1393/2018 Sefiores Comisionados Comisién para el Mercado Financiero Av. Libertador Bernardo O'Higgins 1449 Presente Ref.: |. HECHO ESENCIAL Informa Renuncia y Nueva Designacion Director Estimados Sefiores Comisionados: En cumplimiento con lo dispuesto en el Articulo 9° y en el Articulo 10°, inciso segundo de la Ley N° 18.045, y de la Norma de Caracter General N° 30 de esa Comision para el Mercado Financiero, me permito informar a usted que en sesién de directorio de BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A. celebrada con fecha 20 de julio reciente, el directorio tomd conocimiento y acepté la renuncia, a partir del 1° de agosto de 2018, al cargo de director presentada por el sefior Patricio Fuentes Mechasqui. En reemplazo del sefior Fuentes, fue designado en calidad de director, el sefior Rony Jara Amigo. in ot iq. barticular, saluda atentamente a Uds., Javier Valenzuela Cruz Gerente General BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A. biceinversiones.cl"
"57","doble","Aeropuerto Chacalluta Sociedad Concesionaria S.A. : Arica, 07 de agosto de 2018. G.E.:190/ 2018 Sociedad: Aeropuerto Chacalluta Sociedad Concesionaria S.A. Inscripcién Registro Especial SVS N° 120 Mat.: Citacién a Junta Extraordinaria de Accionistas. Sefior Joaquin Cortez Huerta Presidente Comisién para el Mercado Financiero Av. Bernardo O'Higgins N° 1449, piso 1 Presente. HECHO ESENCIAL De nuestra consideracién, En virtud de lo establecido en los articulos 9 y 10 de la ley N2 18.045, y Norma de Caracter General N° 364 de esa Superintendencia, y debidamente facultado por el Directorio de Aeropuerto Chacalluta Sociedad Concesionaria S.A., informo en calidad de Hecho Esencial, que en reunion extraordinaria del Directorio, celebrada el dia 06 de agosto de 2018, se ha acordado citar a una Junta Extraordinaria de Accionistas a celebrarse en el domicilio social, el 21 de agosto de 2018 a las 09:00 horas. Asimismo, informo a Ud. que la referida Junta Extraordinaria ha sido citada con el objeto que los accionistas se pronuncien sobre las sigui es materias: - Discutir y aprobar el reparto de “in dividendo eventual, por un monto de $100.000.000.-, o aquélla otra cantidad que la junta extraordinaria de accionistas determine, con cargo a las utilidades de ejercicios anteriores. + . . “Ts Sin otro particular, se despide atentamente, ‘Ld ¥ 5 i rebs Gérente Explotacién Aéropuerto Chacalluta Sociedad Concesionaria S. A. CC.: Archivo. ARICA SANTIAGO John Wall Holcombs S/N? Arica Av. Apoquindo 4001 Of. 501 Casilla 97, XV Regidn de Chile. Las Condes, Santiago de Chile Fono: (+56 58)2 213 416|Fax:8+56 58) 2213877 Fono: (+56 2)27290300 www.chacalluta.c!"
"58","doble","LarrainVial* ACTIVOS Santiago, 07 de agosto de 2018 Sefores Comisién para el Mercado Financiero PRESENTE HECHO ESENCIAL FONDO DE INVERSION LARRAIN VIAL HARBOURVEST EX US (“FONDO”) Administrado por LARRAIN VIAL ACTIVOS S.A. ADMINISTRADORA GENERAL DE FONDOS De nuestra consideracion:  En virtud de lo dispuesto en el articulo 9° y en el inciso segundo del articulo 10° de la Ley de Mercado de Valores, y de conformidad con la Norma de Caracter General N°30, de esta Comisién, encontrandome debidamente facultado en calidad de gerente general de Larrain Vial Activos S.A. Administradora Generat de Fondos (la Administradora), por la presente informo a Ustedes como hecho esencial de Fondo de Inversion Larrain Vial Harbourvest Ex-Us lo siguiente:  En la Asamblea Extraordinaria de Aportantes del Fondo de fecha 23 de mayo de 2018, se acordd una disminucion de capital por hasta el 100% de las cuotas suscritas y pagadas del Fondo. En dicha asamblea, los aportantes del Fondo acordaron ademas que la referida disminucién de capital se materializaria en una o mas parcialidades, mediante la disminucién del numero de Cuotas del Fondo o bien mediante la disminucion del valor de cada una de las Cuotas del Fondo, segtin lo determine la Administradora.  Por ello en sesién de directorio de su Administradora, celebrada con fecha 06 de agosto de 2018, se acordé una disminuci6n de capital del Fondo por la cantidad total de EUR 635.093,24, a través de la disminucién del numero de cuotas.  Asimismo, informo que el pago de ta disminucién sehalada se efectuara a partir del 14 de agosto de 2018, en las oficinas de la Administradora, ubicadas en Avenida El Bosque Norte numero 0177, piso 3, Las Condes, Santiago, de Lunes a Viernes de 9:00 a 18:00 horas, a los Aportantes que se encuentren inscritos en el registro respectivo al quinto dia habil anterior a la fecha de pago.  Sin otro particular, le saluda Vi  J Yafiez Fregonara Gerente General Larrain Vial Activos S.A. Administradora General de Fondos c.c.: Bolsa de Comercio de Santiago"
"59","neutro","Santiago, 6 de agosto de 2018 Sefior Joaquin Cortez Huerta Presidente Comisién para el Mercado Financiero PRESENTE HECHO ESENCIAL CONTEMPORA CORREDORES DE BOLSA DE PRODUCTOS S.A. De nuestra consideracion: En virtud de lo establecido en el Art. 9 e inciso segundo del Art. 10 de la Ley 18.045, comunico a Ud. que con fecha 3 de agosto de 2018, don Francisco Silva Bafalluy ha presentado su renuncia como Director de Contempora Corredores de Bolsa de Productos S.A., por lo que se ha producido la vacancia del cargo de Director de la referida sociedad. Sin otro particular, saluda atentamente a Usted, fi Marcie A Francisco Valenzuela Baltra Gerente General Contempora Corredores de Bolsa de Productos S.A."
"60","doble","LarrainVial  ACTIVOS Santiago, 07 de agosto de 2018 Sefores Comision para el Mercado Financiero PRESENTE HECHO ESENCIAL FONDO DE INVERSION LARRAIN VIAL HARBOURVEST US (“FONDO”) Administrado por LARRAIN VIAL ACTIVOS S.A. ADMINISTRADORA GENERAL DE FONDOS De nuestra consideracion: .  En virtud de lo dispuesto en el articulo 9° y en el inciso segundo del articulo 10° de la Ley de Mercado de Valores, y de conformidad con la Norma de Caracter General N°30, de esta Comision, encontrandome debidamente facultado en calidad de gerente general de Larrain Vial Activos S.A. Administradora General de Fondos (la Administradora), por la presente informo a Ustedes como hecho esencial de Fondo de Inversion Larrain Vial Harbourvest US (el Fondo) lo siguiente:  En la Asamblea Extraordinaria de Aportantes del Fondo, de fecha 23 de mayo de 2018, se acordé una disminucién de capital por hasta el 100% de las cuotas suscritas y pagadas del Fondo. En dicha asamblea, los aportantes acordaron ademas que la referida disminucién de capital se materializaria en una o mas parcialidades, mediante la disminucién del numero de Cuotas del Fondo o bien mediante la disminucién del valor de cada una de las Cuotas del Fondo, segtin lo determine la Administradora.  Por ello en sesion de directorio de su Administradora, celebrada con fecha 06 de agosto de 2018, se acord6 una disminucién de capital del Fondo por la cantidad total de USDS 145.216,28.- a través de la disminucién del numero de cuotas.  Asimismo, informo que el pago de la disminucién sefalada se efectuara a partir del 14 de agosto de 2018, en las oficinas de {a Administradora, ubicadas en Avenida El Bosque Norte numero 0177, piso 3, Las Condes, Santiago, de Lunes a Viernes de 9:00 a 18:00 horas, a los Aportantes que se encuentren inscritos en el registro respectivo al quinto dia habil anterior a la fecha de pago.  Sin otro particular, le saluda Th  Claudio Yanez F. Gerente General Larrain Vial Activos S.A. Administradora General de Fondos S.A. c.c.: Bolsa de Comercio de Santiago"
"61","doble","LarrainVial* ACTIVOS Santiago, 07 de agosto de 2018 Sefior Joaquin Cortez Presidente Comision para el Mercado Financiero Presente HECHO ESENCIAL FONDO DE INVERSION LARRAIN VIAL LANDMARK REAL ESTATE VIII (““FONDO”) Administrado por LARRAIN VIAL ACTIVOS S.A. ADMINISTRADORA GENERAL DE FONDOS De nuestra consideracion:  En virtud de lo dispuesto en el articulo 9° y en el inciso segundo del articulo 10° de la Ley de Mercado de Valores, y de conformidad con la Norma de Caracter General N°30, encontrandome debidamente facultado en calidad de gerente general de Larrain Vial Activos S.A. Administradora General de Fondos (la Administradora), por la presente informo a Ustedes como hecho esencial de Reglamento Interno del Fondo De Inversion Larrain Vial Landmark Real Estate VIII, lo siguiente:  En virtud de lo dispuesto en el numeral DOS del Titulo X del Reglamento Interno del Fondo, la Administradora estaba facultada para ltevar a cabo disminuciones de capital de dicho fondo sin necesidad de acuerdo alguno de una asamblea extraordinaria de aportantes, por hasta el 100% de las cuotas suscritas y pagadas del Fondo, o bien del valor de las cuotas del Fondo, a fin de restituir a todos los Aportantes la parte proporcional de su inversién en el Fondo.  Por ello en sesién de directorio de su Administradora, celebrada con fecha 06 de agosto de 2018, se acord6 una disminucién de capital del Fondo, mediante la disminucién del valor cuota del fondo, por la cantidad total de USD 634.070,67.  Asimismo, informo que el pago de la disminucion sefhalada se efectuara a partir del dia 14 de agosto de 2018 en las oficinas de la Administradora, ubicadas en Avenida El Bosque Norte N° 0177, piso 3, Las Condes, Santiago, de lunes a viernes de 9:00 a 18:00 horas, a los Aportantes que se encuentren inscritos en el registro respectivo al 5° dia habil anterior a la fecha de pago, a prorrata del numero de cuotas de que sean titulares a esa fecha.  Sin otro particular, le Thr  Claudio Yafiez Fregonara Gerente General Larrain Vial Activos S.A. Administradora General de Fondos c.c.: Bolsa de Comercio de Santiago"
"62","neutro","ay COMPASS GROUP RD,  Santiago, 6 de Agosto de 2018 Sefiores Comision para el Mercado Financiero t PRESENTE  Ref.: HECHO ESENCIAL Compass Group Chile S.A. Administradora General de Fondos De nuestra consideracién: De conformidad con lo establecido en los articulos 9° y 10° de la Ley N°18.045 sobre Mercado de Valores y en el articulo 18° de la Ley N°20.712 sobre administracion de fondos de terceros y carteras individuales, encontrandome debidamente facultado al efecto, por la presente comunico a Usted, en caracter de hecho esencial respecto de los negocios de Compass Group Chile S.A. Administradora General de Fondos (la “Sociedad’), lo que se indica a continuacion: En Sesi6n de Directorio celebrada el dia de hoy, se tomé conocimiento y se acepto la renuncia del seftor Jaime Munita Valdivieso como Director y Vicepresidente de la Sociedad, la que se hara efectiva a partir del dia de hoy. El Directorio manifesté su reconocimiento al sefor Munita y le agradecio por su destacado desempeiio en la Sociedad. En la misma sesién, el Directorio acordé designar en su reemplazo como director de la Sociedad al seftor Pablo Diaz Albrecht, y como Vicepresidente de la misma al sefior Daniel Navajas Passalacqua, ambos cargos asumiran a partir de esta misma fecha. Sin otro particular, le saluda atentamente, f Jaimg de lABarra Jara Presidente Compass Group Chile S.A. Administradora General de Fondos C.C.3 Bolsa de Comercio de Santiago BOGOTA * BUENOS AIRES > CIUDAD DE MEXICO = LIMA * MONTEVIDEO * NEWYORK * PANAMA * SANTIAGO Wwww.cgcompass.com"
"63","doble","' S a 3 Bran sg a z 5 0 BuO 5 2223 a so sop sg 865% 2 Bses 3.2.24 BS 5 J's Do EgB5 a2 28 = Roos S B Oe = a a ag oO EE ¢ 8 oa. ge Eas 28 3} BS Sk 5 8'ac 8 ge § Ae 98 y Y ig a og Ogae g228 3B é - — & 9 : ‘ so2O5 B58 % as g S g ® 2 223% : : 5 B33 4 os © ‘S fase S588 Be 3 g amas agis a< A eo? S58 ee : ROMS 20 is : = vo = oO 2g<as 8S : Z SanZe 32a = < a>Ge gacs $3 Bos ge<c ae o > Zegze b455 ES : a ion ae eas ge Z — sets eEam B33 i 2 Seppe ee Ss 2% St ain 2 3 °C» £ g | 25 © ae a9 Fv SE Z ee = 308% Ze25 B A Zea sg Bees gi 3 she i BLO 3a83 5g Ee = 2 gate Bees £5 3 <e ‘ 2255 Zaz S oe) o ~~ 2 oO ° 3 ois 3 g 5 Ss op 2 8 2238 BE 5 B : 8533 2235 8: 28 \\/E°s 5 a 8 8 . 3 o 8 o 20 in 82a 2 Ess a a F | pe > oS 5 a8 s EE os 3 : | : 3 . $e5¢ E25 35 “ S § S -a— eee es ae 3 Z — £ 5 6 a ee gegen 2 ug | eI tad 2g Z O a i o §& wn 4s8 a8 3.5% 5 Z = 5 sss S32 2 ga 3B é © N o Be 56838 S2Zeas S85 5 2 Se N os 2 e°%BS 25535 gig § ¢ sh 4 3GUs8H 82's s22 8 : zZ Saae Soars nag 3 . Se tt 8 & eA & E g 227 3 set, eS HE sae : « &:0 g rege Og @ Eg é : S252 g = & 2 quayy® os 5 a _gi6 5 as 68 o £9 §& 3 S222 g o fn S SeFss 72 egGee 2 ORE SE 8s S a"
