"","text"
"47","na volcan santiago  agosto  sejiores comisin   mercado financiero avenida libertador bernardo  ’ higgins santiago chile ref registro  valores n° — comunica hecho esencial   consideracien  conformidad   establecido   artfculo  inciso segundo  artficulo   ley    norma  cardcter general n°   comisien   mercado financiero  encontrandome debidamente facultado  efecto informo  ustedes   dia  agosto   efectue  siguiente renuncia  directorio   sociedad  director titular sefior rodrigo donoso munita renuncie   cargo  reemplazado   directora suplente sefora macarena perez ojeda saluda atentamente  usted tonio sabugal gerente general compaiiia industrial  volcan sa cc bolsa  comercio  santiago bolsa  corredores  valparaiso bolsa electrenica  chile wwwvolcancl "
"48","gon drems hecho esencial sun dream sa inscripcien registro  valores  santiago  agosto  sefior joaquin cortez huerta presidente comision   mercado financiero presente ref informa colocacion  bonos serie    consideracion  medio   presente   cumplimiento   dispuesto   articulo °  inciso segundo  articulo ° ambos   ley  norma  caracter general n°   comisin   debidamente facultado  efecto informo  usted  caracter  hecho esencial   sociedad sun dream sa inscrita   registro  valores   numero  siguiente   fecha sun dream sa coloce   mercado local  totalidad   bonos serie  codigo nemotecnico bdrmse  cargo   linea inscrita   registro  valores bajo  n°   suma  unidades  fomento  bonos serie  i  vencimiento  dia  marzo  "
"49"," be saud ad  respnoo santiago  agosto  sefior joaquin cortez huerta comisien   mercado financiero presente ref comunica hecho esencial  nibsa sa inscrita registro  valores   n°   consideracion  medio   presente  segtin  dispuesto   norma  cardcter general n° seccien ii punto c comunicamos    sesion ordinaria  directorio   sociedad efectuada  dia  agosto   tomo  parte   unanimidad   directores  decision  reconvertir  sociedad   empresa comercializadora manteniendo   area calidad  equipos  maquinarias respectivos   fin  asegurar  nivel  calidad   caracterizado   productos nibsa  anterior significa suspender  forma definitiva  contar   agosto   procesos productivos  fundicien  mecanizacion  productos ejecutados   planta  produccien ubicada   comuna  san joaquin  decisien  informada quede condicionada   ratificacion  parte   junta extraordinaria  accionistas   sociedad   acorde citar   dfa  agosto    horas  cuanto   efectos   decision adoptada informamos  siguiente   decision dard origen   desvinculacion aproximada  empleados   cuales   cancelare  monto estimado  indemnizacion  afios  servicio  aproximadamente millones  seren pagados integramente conforme   establecido   normas laborales vigentes "
"50","b corredor dci  botsa santiago  agosto sefior joaquin cortez huerta presidente comisin   mercado financiero presente ref hecho esencial   consideracion  acuerdo   normativa vigente comunicamos   comision  siguiente hecho esencial anuncio  dividendo  efectivo lugar  fecha new york  agosto  emisora chesapeake utility corp cpk hecho esencial  compafiia  referencia  anunciado  siguiente pago  dividendo  efectivo fecha exdate  septiembre  fecha registro  septiembre  fecha pago  octubre  ratio  pagar  accien usd v importe bruto ratio  pagar  accien usd importe neto mercado  exterior new york puede accederse  informacion adicional   serie  referencia  traves  siguiente link  bci corredor  bolsa httpswwwbciclinversionesbcicorredordebolsavaloresextranjeros   particular  saluda atentamente cc bolsa  comercio  santiago cc bolsa electronica  chile bci corredor  bolsa sa magdalena piso santiago chile "
"51","b corredor dci  botsa santiago  agosto sefior joaquin cortez huerta presidente comisin   mercado financiero presente ref hecho esencial   consideracion  acuerdo   normativa vigente comunicamos   comision  siguiente hecho esencial anuncio  dividendo  efectivo lugar  fecha new york  agosto  emisora unitedhealth group inc unh hecho esencial  compafiia  referencia  anunciado  siguiente pago  dividendo  efectivo fecha exdate  septiembre  fecha registro  septiembre  fecha pago  septiembre  ratio  pagar  accien usd importe bruto ratio  pagar  accien usd importe neto mercado  exterior new york puede accederse  informacion adicional   serie  referencia  traves  siguiente link  bci corredor  bolsa httpswwwbciclinversionesbcicorredordebolsavaloresextranjeros   particular  saluda atentamente cc bolsa  comercio  santiago cc bolsa electronica  chile bci corredor  bolsa sa magdalena piso santiago chile "
"52"," b cl corredor ar  bolsa eees santiago  octubre sefiores comision   mercado financiero presente ref hechos esenciales   consideracin  acuerdo   normativa vigente comunicamos   comisien hechos esenciales correspondientes  pago  dividendos   siguientes etfs valores extranjeros  chevron corp cvx  ebay inc ebay  gilead science inc gild  newmont corporation nem  visainc v  exxon mobil corporation xom magdalena piso  condes telefono fax santiago chile email cbolsabcicl internet wwwbcicl  b cl corredor ar  bolsa ®ees santiago octubre  sefior joaquin cortez huerta presidente comisien   mercado financiero presente ref hecho esencial   consideracion  acuerdo   normativa vigente comunicamos   comision  siguiente hecho esencial anuncio  dividendo  efectivo fecha lugar new york emisora chevron corp cvx hecho esencial  compania  referencia  anunciado  siguiente pago  dividendo  efectivo fecha exdate fecha registro fecha pago ratio  pagar  accion usd importe bruto ratio  pagar  accien usd importe neto mercado  exterior new york puede accederse  informacien adicional   serie  referencia  traves  siguiente link  bci corredor  bolsa httpswwwbciclinversionesbcicorredordebolsavaloresextranjeros   particular  saluda atentamente cc bolsa  comercio  santiago cc bolsa electronica  chile magdalena piso  condes telefono fax santiago chile email cbolsabcicl internet wwwbcicl  b cl corredor ar  bolsa ®ees santiago octubre  sefior joaquin cortez huerta presidente comisien   mercado financiero presente ref hecho esencial   consideracion  acuerdo   normativa vigente comunicamos   comision  siguiente hecho esencial anuncio  dividendo  efectivo fecha lugar nasdaq g emisora ebay inc ebay hecho esencial  compania  referencia  anunciado  siguiente pago  dividendo  efectivo fecha exdate fecha registro fecha pago ratio  pagar  accion usd importe bruto ratio  pagar  accioen usd importe neto mercado  exterior nasdaq g puede accederse  informacien adicional   serie  referencia  traves  siguiente link  bci corredor  bolsa httpswwwbciclinversionesbcicorredordebolsavaloresextranjeros   particular  saluda atentamente cc bolsa  comercio  santiago cc bolsa electronica  chile magdalena piso  condes telefono fax santiago chile email cbolsabcicl internet wwwbcicl  b cl corredor ar  bolsa ®ees santiago octubre  sefior joaquin cortez huerta presidente comisien   mercado financiero presente ref hecho esencial   consideracion  acuerdo   normativa vigente comunicamos   comision  siguiente hecho esencial anuncio  dividendo  efectivo fecha lugar nasdaq g emisora gilead science inc gild hecho esencial  compania  referencia  anunciado  siguiente pago  dividendo  efectivo fecha exdate fecha registro fecha pago ratio  pagar  accion usd importe bruto ratio  pagar  accion usd importe neto mercado  exterior nasdaq g puede accederse  informacien adicional   serie  referencia  traves  siguiente link  bci corredor  bolsa httpswwwbciclinversionesbcicorredordebolsavaloresextranjeros   particular  saluda atentamente cc bolsa  comercio  santiago cc bolsa electronica  chile magdalena piso  condes telefono fax santiago chile email cbolsabcicl internet wwwbcicl  b cl corredor ar  bolsa ®ees santiago octubre  sefior joaquin cortez huerta presidente comisien   mercado financiero presente ref hecho esencial   consideracion  acuerdo   normativa vigente comunicamos   comision  siguiente hecho esencial anuncio  dividendo  efectivo fecha lugar new york emisora newmont corporation nem hecho esencial  compania  referencia  anunciado  siguiente pago  dividendo  efectivo fecha exdate fecha registro fecha pago ratio  pagar  accion usd importe bruto ratio  pagar  accion usd importe neto mercado  exterior nasdaq g puede accederse  informacien adicional   serie  referencia  traves  siguiente link  bci corredor  bolsa httpswwwbciclinversionesbcicorredordebolsavaloresextranjeros   particular  saluda atentamente cc bolsa  comercio  santiago cc bolsa electronica  chile magdalena piso  condes telefono fax santiago chile email cbolsabcicl internet wwwbcicl "
"53","i corporacien nacional  cobre  chile casa matriz huerfanos santiago region metropolitana santiago codelco wwwcodelcocom pe santiago  agosto  sefior joaquin cortez huerta presidente comisin   mercado financiero av libertador bernardo  ’ higgins presente ref hecho esencial codelco chile inscripcien registro  valores n°   consideracion  conformidad   establecido   articulo °   inciso segundo  articulo °   ley n°    norma  caracter general n°   comision   relacien   you informado mediante hecho esencial pe  fecha  diciembre  relativo  proyecto mina chuquicamata subterranea  permito informar  tal calidad   directorio   corporacien nacional  cobre  chile  sesien extraordinaria celebrada ayer acorde autorizar  reformulacien  “ proyecto mina chuquicamata subterranea ”   monto  usd millones moneda presupuesto  plazo meses  sumado   obras tempranas you realizadas alcanza   monto  inversien total  us millones  proyecto mina chuquicamata subterranea  parte integrante  plan  negocios   divisin chuquicamata    corporacien nacional  cobre  chile  efectos   aprobacien  directorio   consideracien  antecedentes presentados   vicepresidencia  proyectos   divisien chuquicamata   comite  proyectos  financiamiento  inversiones   directorio   avances  compromisos  proceso  transformacion asi   resultados   revisien independiente realizada  efecto  hace presente   autorizacien indicada anteriormente  encuentra sujeta   recomendacien   comisien chilena  cobre   ministerio  desarrollo social saluda atentamente  ud nelso rro contador « residente ejecutivo casa matriz division codelco norte divisien  salvador divisien andina division ventanas divisien  teniente "
"54","latam hecho esencial latam airline group sa inscripcien registro  valores n° santiago  agosto  sefior joaquin cortez huerta presidente comisien   mercado financiero av libertador bernardo ohiggins santiago ref comunica hecho esencial   consideracien  acuerdo   establecido   articulo °    inciso segundo  articulo °   ley  mercado  valores    norma  caracter general n° debidamente facultado  medio  presente informo  siguiente hecho esencial  latam airline group sa “ “ latam ”   “ sociedad ” inscripcion registro  valores n°  directorio  latam tome conocimiento   renuncia presentada   sefior antonio luiz pizarro manso  cargo  director   sociedad efectiva  partir  hoy   reemplazo   uso   facultad contenida   articulo   ley n°  sociedades anonimas  directorio acorde  sesien ordinaria celebrada  fecha  hoy  agosto  designar  calidad  director  latam   sefiora sonia js villalobos  consecuencia   proxima junta ordinaria  accionistas  latam  debera proceder  elegir  renovar  directorio  saluda atentamente f° fj jugn carlos mencie vicegresidente senior legal lawam airline group sa "
"55","ruta  maipo hecho esencial ruta  maipo sociedad concesionaria sa inscripcion registro  valores n° santiago  agosto  gl n° sefior joaquin cortez h presidente comisin   mercado financiero presente ref informa hecho esencial  ruta  maipo sociedad concesionaria sa   consideracin  medio   presente debidamente facultado  efecto   virtud   dispuesto   articulo °  inciso segundo  articulo °   ley n°  mercado  valores    norma  caracter general n°   comision   mercado financiero  adelante “ cmef ” vengo  informar   comisien  siguiente  calidad  hecho esencial  ruta  maipo sociedad concesionaria sa  adelante “ ruta  maipo ”   “ sociedad ” ei dia  hoy ruta  maipo realiz  colocacien   mercado local   bonos desmaterializados   portador   serie  cedigo nemotecnico bamaie  cargo   linea  bonos inscrita   registro  valores   cmf bajo  numero  adelante  “ bonos serie  ”    colocados   tasa  interes anual    tasa  caratula   vencimiento   diciembre   colocacien   bonos serie   realiz   monto nominal   unidades  fomento  fondos provenientes   colocacien  destinaran   totalidad i  pago  reembolso   costos  gastos asociados  refinanciamiento   bonos serie   b  ruta  maipo cuyo rescate voluntario anticipado total  informado mediante hecho esencial  fecha  agosto     colocacien   bonos series c have    cargo   referida linea "
"56","biceinversiones administradora general  fondos sa hecho esencial bice inversiones administradora general  fondos sa santiago  julio  gg sefiores comisionados comisien   mercado financiero av libertador bernardo ohiggins presente ref hecho esencial informa renuncia  nueva designacion director estimados sefiores comisionados  cumplimiento   dispuesto   articulo °    articulo ° inciso segundo   ley n°    norma  caracter general n°   comision   mercado financiero  permito informar  usted   sesien  directorio  bice inversiones administradora general  fondos sa celebrada  fecha  julio reciente  directorio tomd conocimiento  acepte  renuncia  partir  °  agosto   cargo  director presentada   sefior patricio fuentes mechasqui  reemplazo  sefior fuentes  designado  calidad  director  sefior rony jara amigo in ot iq barticular saluda atentamente  uds javier valenzuela cruz gerente general bice inversiones administradora general  fondos sa biceinversionescl "
"57","aeropuerto chacalluta sociedad concesionaria sa arica  agosto  ge sociedad aeropuerto chacalluta sociedad concesionaria sa inscripcien registro especial sv n° mat citacien  junta extraordinaria  accionistas sefior joaquin cortez huerta presidente comisien   mercado financiero av bernardo ohiggins n° piso presente hecho esencial   consideracien  virtud   establecido   articulos    ley n  norma  caracter general n°   superintendencia  debidamente facultado   directorio  aeropuerto chacalluta sociedad concesionaria sa informo  calidad  hecho esencial   reunion extraordinaria  directorio celebrada  dia  agosto    acordado citar   junta extraordinaria  accionistas  celebrarse   domicilio social   agosto    horas asimismo informo  ud   referida junta extraordinaria   citada   objeto   accionistas  pronuncien   sigui  materias discutir  aprobar  reparto  “ in dividendo eventual   monto   aquella  cantidad   junta extraordinaria  accionistas determine  cargo   utilidades  ejercicios anteriores “ t   particular  despide atentamente ‘ ld ¥ i rebs gerente explotacien aeropuerto chacalluta sociedad concesionaria s  cc archivo arica santiago john wall holcombs sn arica av apoquindo of casilla xv regidn  chile  condes santiago  chile fono fax fono wwwchacallutac "
"58","larrainvial activos santiago  agosto  sefores comisien   mercado financiero presente hecho esencial fondo  inversion larrain vial harbourvest ex us “ fondo ” administrado  larrain vial activos sa administradora general  fondos   consideracion  virtud   dispuesto   articulo °    inciso segundo  articulo °   ley  mercado  valores   conformidad   norma  caracter general n°   comisien encontrandome debidamente facultado  calidad  gerente general  larrain vial activos sa administradora generat  fondos  administradora   presente informo  ustedes  hecho esencial  fondo  inversion larrain vial harbourvest exus  siguiente   asamblea extraordinaria  aportantes  fondo  fecha  mayo   acordd  disminucion  capital      cuotas suscritas  pagadas  fondo  dicha asamblea  aportantes  fondo acordaron ademas   referida disminucien  capital  materializaria     parcialidades mediante  disminucien  numero  cuotas  fondo  bien mediante  disminucion  valor  cada    cuotas  fondo segtin  determine  administradora  ello  sesien  directorio   administradora celebrada  fecha  agosto   acorde  disminucin  capital  fondo   cantidad total  eur  traves   disminucien  numero  cuotas asimismo informo   pago  ta disminucien sehalada  efectuara  partir   agosto    oficinas   administradora ubicadas  avenida  bosque norte numero piso  condes santiago  lunes  viernes   horas   aportantes   encuentren inscritos   registro respectivo  quinto dia habil anterior   fecha  pago   particular  saluda vi j yafiez fregonara gerente general larrain vial activos sa administradora general  fondos cc bolsa  comercio  santiago "
"59","santiago  agosto  sefior joaquin cortez huerta presidente comisien   mercado financiero presente hecho esencial contempora corredores  bolsa  productos sa   consideracion  virtud   establecido   art  inciso segundo  art   ley comunico  ud   fecha  agosto  don francisco silva bafalluy  presentado  renuncia  director  contempora corredores  bolsa  productos sa      producido  vacancia  cargo  director   referida sociedad   particular saluda atentamente  usted fi marcie  francisco valenzuela baltra gerente general contempora corredores  bolsa  productos sa "
"60","larrainvial activos santiago  agosto  sefores comision   mercado financiero presente hecho esencial fondo  inversion larrain vial harbourvest us “ fondo ” administrado  larrain vial activos sa administradora general  fondos   consideracion  virtud   dispuesto   articulo °    inciso segundo  articulo °   ley  mercado  valores   conformidad   norma  caracter general n°   comision encontrandome debidamente facultado  calidad  gerente general  larrain vial activos sa administradora general  fondos  administradora   presente informo  ustedes  hecho esencial  fondo  inversion larrain vial harbourvest us  fondo  siguiente   asamblea extraordinaria  aportantes  fondo  fecha  mayo   acorde  disminucien  capital      cuotas suscritas  pagadas  fondo  dicha asamblea  aportantes acordaron ademas   referida disminucien  capital  materializaria     parcialidades mediante  disminucien  numero  cuotas  fondo  bien mediante  disminucien  valor  cada    cuotas  fondo segtin  determine  administradora  ello  sesion  directorio   administradora celebrada  fecha  agosto   acord  disminucien  capital  fondo   cantidad total  usds  traves   disminucien  numero  cuotas asimismo informo   pago   disminucien sefalada  efectuara  partir   agosto    oficinas   administradora ubicadas  avenida  bosque norte numero piso  condes santiago  lunes  viernes   horas   aportantes   encuentren inscritos   registro respectivo  quinto dia habil anterior   fecha  pago   particular  saluda th claudio yanez f gerente general larrain vial activos sa administradora general  fondos sa cc bolsa  comercio  santiago "
"61","larrainvial activos santiago  agosto  sefior joaquin cortez presidente comision   mercado financiero presente hecho esencial fondo  inversion larrain vial landmark real estate viii “ “ fondo ” administrado  larrain vial activos sa administradora general  fondos   consideracion  virtud   dispuesto   articulo °    inciso segundo  articulo °   ley  mercado  valores   conformidad   norma  caracter general n° encontrandome debidamente facultado  calidad  gerente general  larrain vial activos sa administradora general  fondos  administradora   presente informo  ustedes  hecho esencial  reglamento interno  fondo  inversion larrain vial landmark real estate viii  siguiente  virtud   dispuesto   numeral dos  titulo x  reglamento interno  fondo  administradora  facultada  ltevar  cabo disminuciones  capital  dicho fondo  necesidad  acuerdo alguno   asamblea extraordinaria  aportantes      cuotas suscritas  pagadas  fondo  bien  valor   cuotas  fondo  fin  restituir    aportantes  parte proporcional   inversien   fondo  ello  sesien  directorio   administradora celebrada  fecha  agosto   acord  disminucien  capital  fondo mediante  disminucien  valor cuota  fondo   cantidad total  usd asimismo informo   pago   disminucion sefhalada  efectuara  partir  dia  agosto    oficinas   administradora ubicadas  avenida  bosque norte n° piso  condes santiago  lunes  viernes   horas   aportantes   encuentren inscritos   registro respectivo  ° dia habil anterior   fecha  pago  prorrata  numero  cuotas    titulares   fecha   particular  thr claudio yafiez fregonara gerente general larrain vial activos sa administradora general  fondos cc bolsa  comercio  santiago "
"62","ay compass group rd santiago  agosto  sefiores comision   mercado financiero t presente ref hecho esencial compass group chile sa administradora general  fondos   consideracien  conformidad   establecido   articulos °  °   ley n°  mercado  valores    articulo °   ley n°  administracion  fondos  terceros  carteras individuales encontrandome debidamente facultado  efecto   presente comunico  usted  caracter  hecho esencial respecto   negocios  compass group chile sa administradora general  fondos  “ sociedad ’    indica  continuacion  sesin  directorio celebrada  dia  hoy  tome conocimiento   acepto  renuncia  seftor jaime munita valdivieso  director  vicepresidente   sociedad    hara efectiva  partir  dia  hoy  directorio manifeste  reconocimiento  sefor munita   agradecio   destacado desempeiio   sociedad   misma sesien  directorio acorde designar   reemplazo  director   sociedad  seftor pablo diaz albrecht   vicepresidente   misma  sefior daniel navajas passalacqua ambos cargo asumiran  partir   misma fecha   particular  saluda atentamente f jaimg  labarra jara presidente compass group chile sa administradora general  fondos cc bolsa  comercio  santiago bogota buenos aires ciudad  mexico lima montevideo newyork panama santiago wwwwcgcompasscom "
"63","s  bran sg  z buo  so sop sg bses b js do egb  roos s b oe   ag oo ee ¢ oa ge eas b sk ac ge § ae   ig  og ogae g b  — ‘ soo b as g s g ® b  © ‘ s fase s be g amas agis   eo s ee rom be vo oo gas s z sanze  age gacs bos gec ae  zegze b   ion ae eas ge z — set eeam b i seppe ee s st ain °c » £ g © ae  fv  z ee ze b  zea sg bee gi she i blo  g ee gate bee £  ‘ zaz s oe  oo ° ois g s op be b °s    in  ess   f pe   s ee  ¢  “ s § s  — eee  ae z — £  ee gegen ug ei tad g z   i  § wn s  z sss s ga b  © n  be szeas s  n  °bs gig § ¢ sh gush s s zz saae soar nag  tt ea  g set   sae « g rege og eg  s g quayy®   gi as  £ § s g  fn s sefss eggee ore  s s  "
"64","suf santiago  agosto  sefior joaquin cortez huerta presidente comisien   mercado financiero presente ref informa hecho esencial  indica   consideracien  conformidad   dispuesto   n°   circular n°    informacien periddica  deben remitir  servicio  entidades aseguradoras  reaseguradoras  demas normas pertinentes vengo  informar  caracter  hecho esencial  siguiente conforme  art   ley   consideracien   certeza  compromiso   asistencia    acciones suscritas  pagadas   autoconvocado   miercoles  agosto   celebracien  junta general extraordinaria  accionistas  suaval compafifa  seguros  garantia  creditos sa     tratara  materia siguiente  subsanar observaciones realizadas   comisien   mercado financiero  traves  oford n°  acta  primera junta general extraordinaria  accionistas  suaval compafifa  seguros  garantia  creditos sa  aumento  capital   particular saluda atentamente f sebastian trench fernandez gerente general suaval compania  seguros  garantia  creditos sa cc archivo "
"65","afp capital surda santiago  agosto  gg sefior joaquin cortez huerta presidente comision   mercado financiero presente hecho esencial ref cambios   administracion inscripcien   registro  valores n° sefior presidente  medio   presente carta comunicamos  calidad  hecho esencial   sesion extraordinaria  directorio realizada  dia  hoy  designo  sefior jaime munita valdivieso  gerente general  administradora  fondos  pensiones capital sa  asumira dicho cargo  dia  septiembre    parte informamos   sefior romeo hodali sedan  ocupa  cargo  gerente general interino  ia sociedad retomara  cargo  gerente comercial  contar   fecha  sefialada   particular saluda atentamente  usted jugn carlos jobe presidente afp capital sa cc bolsa  comercio  santiago bolsa electronica  chile bolsa  valores "
"66","° hiv aun nduaia  operador pfranco intendencia  seguros sefior joaquin cortez huerta presidente comisien   mercado financiero presente ref informa pago  acciones  parte  accionista colmena salud sa sr presidente   cmf  medio   presente vengo  informar  representacion  colmena compafiia  seguros  vida sa  siguiente  fecha  agosto   accionista colmena salud sa pagd  enterd acciones equivalente   razon   acciones   accionista tenia inscritas   nombre  dia  agosto   razon  contrato  suscripcien  acciones suscrito  fecha  marzo  debidamente informado   comisien "
"67","¢  aquachile g  have  hecho esencial empresas aquachile sa inscripcien registro  valores n° puerto montt  agosto  sefior joaquin cortez huerta presidente comisien   mercado financiero alameda presente ref hecho esencial   consideracien  cumplimiento   dispuesto   articulos  inciso segundo  articulo   ley  mercado  valores    norma  caracter general niimero   comision   mercado financiero   debidamente facultado  efecto informo  usted  caracter  hecho esencial  siguiente  die relacien   acciones   compaiiia  accionistas mayoritarios hold salmones limitada  inversiones patagonia limitada  sociedades relacionadas  informado   compafiia   fecha  agosto pasado suscribieron  contrato  promesa  compraventa  opa   sociedad agrosuper sa  vender  totalidad   participacien accionaria   compaiifa equivalente aproximadamente    total   acciones debidamente emitidas suscritas  pagadas segtin  informacien recibida  transaccien  materializare  traves   oferta pliblica  adquisicien  acciones opa   adquisicien    acciones   compaiiia  considera  precio  asciende  us ochocientos cincuenta millones  delares    unidos  america equivalentes  us  accien   serum declarada exitosa si  aceptada   ntimero   menos dos tercios   acciones emitidas  derecho  voto cantidad cuya aceptacien you  encuentra comprometida conforme  contrato  promesa  precio i  reducira   monto igual  cualquier dividendo   distribuya   fecha   promesa  compraventa  ii  incrementara   equivalente   tasa  interes   anual  partir   diciembre     dia  publicacien  aviso  inicio   opa ambas fechas inclusivas wun aquachile com cardonal sn lote rt puerto montt chile cp ff  ©  aquachile pg ¢ s   t  cierre   transaccien  sujeto  condiciones usuales  operaciones   naturaleza incluyendo  aprobacien   autoridad  libre competencia   particular  saluda  atentamente xy vy  agustin ugalde gerente general empresas aquachile sa i cc bolsa  comercio  santiago bolsa  valores  chile bolsa  valores  valparaiso wwiaquachilecom cardonal sn loter — t g puerto montt chile cp govo — f "
"68","hecho esencial agrosuper sa registro  valores n° rancagua  agosto  sefior presidente comisien   mercado financiero presente   consideracion  acuerdo   establecido   articulos °  °   ley  mercado  valores    dispuesto   norma  caracter general n° debidamente facultado   directorio informo  caracter  hecho esencial  agrosuper sa “ agrosuper ” inscripcien   registro  valores n°  siguiente   fecha  agosto agrosuper   accionistas mayoritarios  empresas aquachile sa "
"69","larrainvial activos hecho esencial fondo  inversion lvpatio renta inmobiliaria autorizado  resolucien n°   junio  santiago  agosto  sefior joaquin cortez huerta presidente comisin   mercado financiero av libertador bernardo  ’ higgins presente ref comunica hecho esencial  fondo  inversien lvpatio renta inmobiliaria   consideracien  cumplimiento   estabiecido   articulo  inciso segundo  articulo   ley n°  mercado  valores debidamente facultado   representacion  larrain vial activos sa administradora general  fondos  “ administradora ” sociedad administradora  fondo  inversion lvpatio renta inmobiliaria  “ fondo ” vengo  comunicar  usted   sesien  directorio   administradora celebrada   agosto   acorde citar  asamblea extraordinaria  aportantes   dia lunes  agosto    horas   oficinas   administradora ubicadas  avenida  bosque norte comuna   condes santiago  materias  tratar   asamblea extraordinaria  aportantes seran  siguientes  modificar  reglamento interno  fondo  acuerdo  siguiente detalle    politica  inversion aclarar   objeto principal  fondo  invertir  bienes raices nacionales  renta  eliminar  articulo b   objeto  eliminar ia posibilidad    fondo invierta directamente  recursos  mutuos hipotecarios endosabies b   politica  inversion    normas  conflicto  interes realizar  modificaciones   necesarias   objeto  sujetar  politica  inversien  fondo   normas  resolucien  conflictos  interes   exigencias limitaciones  restricciones  contemple  regulacien aplicable   fondos  pensiones  chile  manera tal   fondo cumpla   condiciones  exigencias legales  reglamentarias   permitan   fondos  pensiones mantener inversiones  cuotas  fondo c   politica  liquidez  endeudamiento modificar  articulo have enlas normas  gobierno corporativo eliminar  articulo  reflejar   caso  sustitucien   administradora  causas  imputables     caso  disolucien anticipada  fondo  causas  imputables   administradora  correspondera pago  indemnizacion alguna   administradora   demas modificaciones   necesarias  ajustar  texto  reglamento interno   enumeracien   articulos  atencien   modificaciones  referidas b adoptar  demas acuerdos necesarios  materializar  acuerdos   asamblea extraordinaria  aportantes   particular  saluda h yeh claudio yafiez fregonara gerente general larrain vial activos sa administradora general  fondos "
"70","— enap c km vari santiago  agosto  hecho esencial empresa nacional  petrdleo empresa publica inscripcien registro  valores n° sefior joaquin cortez huerta presidente comisin   mercado financiero av libertador bernardo ohiggins presente ref informa aumento  capital  uss millones   consideracien  virtud   dispuesto   articulos  inciso segundo   ley n°    normas  caracter general n°   debidamente facultado cumplo  informar  usted   fecha  hoy  ministro  hacienda felipe larrain anuncie  aprobacien   capitalizacien  uss millones  enap dando cumplimiento asi   ‘ comprometido   nueva ley  gobierno corporativo  entregando  clara sefial  respaldo   estatal   pueda seguir mejorando  situacion financiera  recursos aportados   capitalizacin you  encuentran disponibles   cuentas  enap   destinaran  amortizar deuda   particular  saluda atentamente — azar nufiez gerente general coree im fe empresa nacional  petrdeleo pe f ew "
"71","“ s i  sss c ses oe sese ssf b g  sposese bsea yt baf od s t s semmanrnygord asch s  sehse g  age sex sir s s seqgv ee bgezees g  so oo hello gaeersy  c oe ssh esne°solze g v ff  ea zsazzzwvabe oy sho oe vv  do s z zeeedsss g gasser zs esgeguag  s £ zz £ edn thou   seto  ee seess sro shs oo sl ans bd eog soh pst ee ege oe   £  pro oo mo z  s    oo olrovags ° esvuuvs oo § g cgiiee   om yecong g b obr eot s s gasig s g ota ° oo  ian ai aeg¥liseu s eger rue ‘  z lege   g oe s vveocg boaseis z s s bot eta  eosaeg p barsts ’ s ofs br uss as  ny g b pozneao be §  soggstke z  on poag as    § gstecee g ® £ aw oteea® § sy » oe ebeol esb  — olaz sv s ¥ § ° na reese  €£° oere © n have on ry    beg “ bes ee secon oe sesees s ou qa zsreses "
"72","adretail sa hecho esencial ad retail sa registro  valores n° santiago  agosto  sefior joaquin cortez huerta presidente comision   mercado financiero presente   consideracion conforme   dispuesto   articulos  inciso segundo   ley n°  mercado  valores "
"73","ay i hecho esencial eimipresas iansa sa rol n inscripcion  registro  valores n santiago  agosto  sefiores comision   mercado financiero av libertador bernardo  ’ higgins n piso presente ref oford n°  estimados sefiores  conformidad   solicitado  oficio ordinario n° emitido  fecha  agosto    comisien  adelante  indistintamente  “ oficio ”  medio   presente venimos  complementar  hecho esencial enviado  fecha  julio  proporcionando oportunamente  informacion    requerida  empresas lansa sa  adelante  indistintamente  “ sociedad ”  “ lansa ”  virtud   anterior informamos  siguiente   acuerdo   indicado   normas internacionales  informacion financiera nic  sociedad reconocera   mes  julio    financieros  provision  gastos  reestructuracion asociada   costos ineludibles derivados  cese gradual   operaciones   planta  linares  provisien  encuentra  proceso  preparacion   espera  genere  impacto financiero  alrededor  musd b  acuerdo   indicado   normas internacionales  informacien financiera nic   fecha   generado  indicio   pueda haberse deteriorado  valor   unidad generadora  efectivo azucar  coproductos producto  cese gradual  produccion   planta  linares   fecha    proceso  determinacien  importe recuperable   unidad generadora  efectivo  posteriormente compararla   valor libro   objetivo  determinar deterioro si existiera saludamos atentamente  usted f luis irarrazavaliovalle gerente genus empresas lansa sh rosario norte piso  condes santiago chile tel wwwiansacl "
"74"," puertovalparaiso  primer puerto  hile gaf anwos hecho esencial empresa portuaria valparaiso — nro inscripcion valparaiso  agosto sefior joaquin cortez presidente comisien   mercado financiero av libertador bernardo ohiggins santiago ref  ley  general  articulo  particular b art °  inciso segundo  articulo °   ley c sv norma  caracter general ncg  have sv norma  caracter general ncg   sv norma  caracter general ncg  so    consideracion  virtud   establecido  documentos   referencia  medio  presente  debidamente facultado comunico  caracter  hecho esencial respecto   empresa   negocios  siguiente  fecha  agosto   consejo sep acepte  renuncia  directorio  empresa portuaria valparaiso epv   srta encarnacion canalejo saavedra j articular  saluda atentamente gonzalodavagnino v gerente general empresa portuaria valparaiso gerencia administracion  finanzas  puerto valparaiso ay errazuriz valparaiso chile www puertovalparaisocl "
